project_id;response_id;question;text
Nature_Training_Course;1;Overall which training course moments/aspects/processes did you like the most? Why? ;All
Nature_Training_Course;2;Overall which training course moments/aspects/processes did you like the most? Why? ;The practical bit of it was my favourite where we had to create something, it helped me showcase my skills in away that I had to think and transform my thoughts into an art piece
Nature_Training_Course;3;Overall which training course moments/aspects/processes did you like the most? Why? ;"Arrival night dinner - delicious meals
Day 1 - training
Day 2 - training and leading a mediation session.
Day 2 - visit to the nature park and all photos taken 😊. Singing together ; I am very glad , every little cell, in my body , is happy and well 🎶 🎵 🥰🥳

Overall, connecting with fellow participants in a friendly, intellectual and convivial manner."
Nature_Training_Course;4;Overall which training course moments/aspects/processes did you like the most? Why? ;Combining exploring nature /city /local stuff together with doing research (finding subjects and photograph them) to use them later and making something out of it
Nature_Training_Course;5;Overall which training course moments/aspects/processes did you like the most? Why? ;I liked the little art project the most. We were really able to work as a team and get creative.
Nature_Training_Course;6;Overall which training course moments/aspects/processes did you like the most? Why? ;Creating from scratch, papers, magazines
Nature_Training_Course;7;Overall which training course moments/aspects/processes did you like the most? Why? ;When we talked about sustainability practises in our countries.
Nature_Training_Course;8;Overall which training course moments/aspects/processes did you like the most? Why? ;I liked the theoretical part of the project, we learned about something new, all the information was well structured and well presented in order to master it
Nature_Training_Course;9;Overall which training course moments/aspects/processes did you like the most? Why? ;I loved walking around with everyone and speaking to each member of the team in different places, it was very bonding.
Nature_Training_Course;10;Overall which training course moments/aspects/processes did you like the most? Why? ;Preparing the ideas
Nature_Training_Course;11;Overall which training course moments/aspects/processes did you like the most? Why? ;The most I liked when we were collaborating on creating projects that possibly can be efficient in reducing contamination in particular areas.
Nature_Training_Course;12;Overall which training course moments/aspects/processes did you like the most? Why? ;I like all
Nature_Training_Course;13;What were the negative aspects? Please explain.;Only negative aspect was it was very few days.
Nature_Training_Course;14;What were the negative aspects? Please explain.;Project was too short , I wished for more time
Nature_Training_Course;15;What were the negative aspects? Please explain.;Being three guests in a hostel room big enough for two guests.
Nature_Training_Course;16;What were the negative aspects? Please explain.;Maybe one little thing that the hostel was a bit far away from the venue, but for the two days it was fine for me :)
Nature_Training_Course;17;What were the negative aspects? Please explain.;Too short :)
Nature_Training_Course;18;What were the negative aspects? Please explain.;No negative
Nature_Training_Course;19;What were the negative aspects? Please explain.;-
Nature_Training_Course;20;What were the negative aspects? Please explain.;I did not notice any negative aspects
Nature_Training_Course;21;What were the negative aspects? Please explain.;Nope
Nature_Training_Course;22;What were the negative aspects? Please explain.;not enough time , one or two days more would be much better
Nature_Training_Course;23;What were the negative aspects? Please explain.;Everything was really good, satisfied.
Nature_Training_Course;24;What were the negative aspects? Please explain.;No negative aspects
Nature_Training_Course;25;What did you learn at this training course? ;How to live life with sustainability
Nature_Training_Course;26;What did you learn at this training course? ;How I can live sustainably with the focus on the environment because most times we tend to do things and forget that they have an impact on the environment so the project was a great eye opener
Nature_Training_Course;27;What did you learn at this training course? ;"I expanded my knowledge base around the 5W 1H approach to sustainable eco-friendly project development.
As well as, explored from a different perspective the application of Design Thinking in coordinating trainings for young learners.

I am particularly delighted that they - the trainers - welcomed my initiative to lead and guide a 20 minute meditation session for all participants. It was my first time doing such. I have now discovered a new skill which I shall work to develop for the common good of all as I journey through life . Thanks to the open-minded approach to learning and teaching that the trainers very generously offered.

I am inspired to sustain my awakened passion as a Trainer 😍."
Nature_Training_Course;28;What did you learn at this training course? ;More concrete ideas about sustainable living and new methods of processing.
Nature_Training_Course;29;What did you learn at this training course? ;Lots of things, interesting theories and I got to deepen my social skills.
Nature_Training_Course;30;What did you learn at this training course? ;About ecology in different countries
Nature_Training_Course;31;What did you learn at this training course? ;More I do about environment sustainability
Nature_Training_Course;32;What did you learn at this training course? ;Design thinking seemed interesting to me, I had never heard of such a thing and it was new to me
Nature_Training_Course;33;What did you learn at this training course? ;I liked the part where I had different topics to talk to everyone about the environment for a while ! It was a clock assignment!
Nature_Training_Course;34;What did you learn at this training course? ;more knowledge about critical thinking and critical design
Nature_Training_Course;35;What did you learn at this training course? ;I have learned new interesting practices from other participants in terms of contribution for co2 reduction.
Nature_Training_Course;36;What did you learn at this training course? ;Much more, critical thinking, connection with nature, opening eyes for nature
Nature_Training_Course;37;Do you have any recommendations & ideas how the next projects could be improved?;I would recommend maybe more days for the project , like a week so that we can learn more from each others and the hosting organisation
Nature_Training_Course;38;Do you have any recommendations & ideas how the next projects could be improved?;Kindly sustain the practice of encouraging participants to bring onboard their own initiatives to co-create a memorable training experience as was the case in this training.
Nature_Training_Course;39;Do you have any recommendations & ideas how the next projects could be improved?;If related to the same topics, maybe by early organizing tickets to visit the processing plant.
Nature_Training_Course;40;Do you have any recommendations & ideas how the next projects could be improved?;More diversity in tasks for participants
Nature_Training_Course;41;Do you have any recommendations & ideas how the next projects could be improved?;Everything was at the highest level, except (if there is such an opportunity) to extend the day by several hours! Because great projects like this should last a little longer. Especially if the participants come from other countries, want to show them more of the city, interesting places, and of course spend more time on the project and discuss more similar topics to find out their opinions
Nature_Training_Course;42;Do you have any recommendations & ideas how the next projects could be improved?;yes, invite me to projects! hahaha. I will be glad if the next project is also connected with nature and to go somewhere to nature reserves, or if the next project is connected with science!
Nature_Training_Course;43;Do you have any recommendations & ideas how the next projects could be improved?;All is good
